batch_number,name,unit_of_measurement,description,category,usage,owner,quantity
7962," SAMSUNG CURVED 24"" (ΟΘΟΝΗ LED)",ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7963, DAIDSONIC IC BOX DOCKING (ΒΑΣΗ ΣΥΝΔΕΣΗΣ ΣΚΛΗΡΟ),ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7964, RASBERRY PI 4 MODEL B,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7965, LOGITEC CONFERENCECAMERA (ΚΑΜΕΡΑ  ΤΗΛΕΔΙΑΣΚΕ),ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7966, LEXMARK MC 2425 ADW (ΕΚΤΥΠΩΤΗΣ ΕΓΧΡΩΜΟΣ),ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7967," PHILIPS 8DM 4350 UC MONITOR 42"" (ΟΘΟΝΗ)",ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7968, CISCO CP 8841-K9-5-LINE VOIP (ΤΗΛΕΦ.ΣΥΣΚΕΥΗ),ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7969, ΚΑΛΩΔΙΟ ΗΛΕΚΤΡΟΔΟΤΗΣΗΣ 150Χ70,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7970, ΣΤΥΛΟΣ ΞΥΛΙΝΟΣ 12 ΜΕΤΡΩΝ,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7974, ΣΥΤΣΤΗΜΑ ΤΗΛΕΔΙΑΣΚΕΨΗΣ AVAYA SOLUTIONS PLATF,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7975, KAMEPA FULL HD VIDEO CONFERENC.SYSTEM,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7976, ΚΛΙΜΑΤ TOIXOY LG 24R,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7977, ΚΛΙΜΑΤ.ΜΟΝΑΔΑ ΤΥΠΟΥ ΚΑΣΕΤΑΣ 4 ΔΙΕΥΘ,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7978, ΚΑΝΑΛΑΤΗ ΚΛΙΜ.ΜΟΝΑΔΑ LGUU 70W,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7979, ΚΑΝΑΛΑΤΗ ΚΛΙΜ.ΜΟΝΑΔΑ LGUU85W,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7980, RACK SERVER POWER EDGE DELL,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7983, KEPAIA MIKROTIK METAL OMNI DIRECTIONAL,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7984, ΒΑΣΗ ΚΕΡΑΙΑΣ ΙΝΟΧ,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7985, ΤΕΡΜΑΤΙΚΟ ΕΦΑΡΜΟΓΗΣ (TABLET MLS),ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
7986, ΠΟΛΥΚΑΤΕΥΘΥΝΤΙΚΗ ΚΕΡΑΙΑ,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8076, ΨΥΚΤΙΚΗ ΜΟΝΑΔΑ 25.000 BTU,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8078, ΨΥΚΤΙΚΗ ΜΟΝΑΔΑ 12000 BTU,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8086, ΚΑΘΙΣΜΑ ΜΕ ΜΠΡΑΤΣΑ,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8087, ΚΑΘΙΣΜΑ ΜΕΤΑΛΛΙΚΟ,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8090, ΤΡΟΧΙΛ ΣΥΡΤΑΡΙΕΡΑ,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8099, ΘΕΡΜΟΣΙΦΩΝΟ 80lit,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8101, ΨΥΓΕΙΟ CANDY,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8125, ORA LE01 THE COMLETE REFER,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8126, UNLEASHEAD,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8127, MASTEPING WINDOWS,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8128, ΠΛΗΡΗ ΕΓΧΕΙΡΙΔΙΟ WINDOWS,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8138, ΓΕΝΝΗΤΡΙΑ ΤΟΝΟΥ,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8155, CISCO ISR 4331 UC BUNDLE PVDM4-32,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8250, ΕΠΑΝΑΦΟΡΤΥΝΟΣ ΣΥΣΣΩΡΕΥΤΗΣ Α28,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8251, PRINTER GODEX G300 (BARCODE),ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8252, SYMBOL LS1203USB WITH STAND (BARCODE SCANNER),ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8255, PRINTER GODEX G300 WITH BARCODE SCANNER,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8258, ΣΥΣΚΕΥΗ ΨΗΦΙΑΚΗ -4020 PREMIUM,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8259, ΑΝΑΛΟΓΙΚΗ ΣΥΣΚΕΥΗ TEMPORIS,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8260," SAMSUNG TV 50""",ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8261," LG TV 50""",ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8262, ΚΑΛΩΔΙΟ UTP,ΜΕΤΡΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8263, H/Y AMD 8GB,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8265, PATTON G.703 ΤΟ RS232 DB25M CONVERTER,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8266, H/Y HP DL360 R5 SERVER,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8267, OΘONH ASUS VGA/HDMI,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8270,ΚΑΛΩΔΙΟ 033667 DTE MALE SS-X21MT CISCO,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8274, H/Y P4 Q8400,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8275," ΟΘΟΝΗ PHILIPS 19""",ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8276, PATTON G.703 NTU W/X.21 INTERFACE,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8280, NAS SERVER ΜΕ 4 HDD 500GB,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8282, NOTEBOOK DELL LATITUDE E5500,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8284, ΕΚΤΥΠΩΤΗΣ HP P2055 DN,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8285, UPS 1500VA APC SMART LIN.INTER,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8287, H/Y DELL PER 330/E3-1240V6,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8288, H/Y DELL OPTIPL 780DT/E8400 /2GB,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8289," MONITOR 19"" DELL E1910 LCD",ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8290, PRN LEXMARK ΠΟΛΥΜΗΧΑΝΗΜΑ X204N,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8291, H/Y DELL SRV PE710/E5506/4GB,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8294, HWIC-4ESW 4-PORT 10/100 ETH SIC,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8295, CAB -SS-232MT RS232 CABLE 10FT,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8297, ROUTER CISCO 4221,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8298, CISCO NIM-IMFT-TI/EI,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8299, CISCO NIM-2T,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8303, HPLASER CLR M103fn ΠΟΛΥΜ 25694,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8304, ROUTER CISCO 2911 SEC /K9,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8306, SWITCH CISCO SG 250-08 -8P,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8307, ΟΠΤΙΚΟΣ ΚΑΤΑΝΕΜΗΤΗΣ 24 DUPLEX ΘΥΡΩΝ L,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8309, KVM SWITCH RACK MOUNTABLE,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8313, TWO PORT VOICE INTERFACE CARD,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8315, PVDM2-8 -RF 006084,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8316, PVDM2-16-RF 006085,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8317, PVDM3-16 006086,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8318, CISCO-DWS -C2960X -48TS -L 006260,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8321, CISCO-D WS-C2960+24TC-S (S),ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8322, HP LASER ΠΟΛΥΜΗΧΑΝΗΜΑ,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8323, VWIC3 2MFT REF 006503,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8327, N PORT 5110A /T2 U V1 0,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8328, CISCO 2911 VOICE BUNDLE(S),ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8329, CISCO SG 200-8,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8331, SCOPIA XT 4300,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8336, STORAGE W.D NAS CLOUD EX4100,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8337," HD 1TB W.DIGITAL 3.5"" SATA3 RED",ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8345, ΣΥΣΚΕΥΗ SF-375 /TP ΠΟΛΥΜΗΧΑΝΗΜΑ INKJET,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8346, ΣΥΣΚΕΥΗ KX-FP215GR FAX ΑΠΛΟΥ ΧΑΡΤΙΟΥ,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8378, HP NOTEBOOK NX 7400i,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8382, ΦΟΡΗΤΟΣ Η/Y ACER,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8386, PRINTER HP P2015X,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8390, ΕΞΥΠΗΡΕΤΗΤΗΣ SERVER PY RX300S5 8X2.5,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8396, FAX PANASONIC KXFP205GR,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8397, ΣΥΣΤΗΜΑ ΤΗΛΕΔΙΑΣΚΕΨΗΣ VIDEO CONFER . LIFESIZE U,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8398, ΔΡΟΜΟΛΟΓΗΤΗΣ CISCO 2851,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8405, DVD-RW,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8409, ΚΛΙΜΑΤΙΣΤΙΚΟ MHXCURRIER38VCX06,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8410, ΜΗΧΑΝΗΜΑΤΑ CARRIER38YCX060,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8411, ΨΥΚΤΗΚΗ ΣΥΣΚΕΥΗ CARRIER ΕΣΩΤ,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8412, KAI/KO MHX MITSUBISHI 14000BTU,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8418, ΚΛΙΜΑΤΙΣΤΙΚΟ SAMSUNG ΕΣΩΤ,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8419, ΚΛΙΜΑΤΙΣΤΙΚΟ SAMSUNG ΕΞΩΤΕΡΙΚΟ,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8425, ALTEC PERFOMER 733,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8427, UPS POWERWALKER VFI-1500 LCD 006129,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8428," INET RACK 19"" 16U WALL MOUNTED S",ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8432, NET RACK ΡΑΦΙ,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8434, ΚΑΛ.OPTICAL ST/SC,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8435," ΙΚΡΙΩΜΑΤΑ 19""",ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8448, ΣΥΣΚΕΥΗ ΚΙΝΗΤΗΣ ΤΗΛΕΦΩΝΙΑΣ I-PHONE,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8452, MULTI KIN.SONY XPERIA DUAL 3993,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8454, ΚΙΝΗΤΟ ΤΗΛ.LENOVO MOTO CPLUS 2GB/16,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8455, ΚΙΝΗΤΟ ΤΗΛΕΦΩΝΟ HTC DESIRE 320,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8456, SEPURA SRP 2000 GPS,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8457, SEPURA TETRA ΜΠΑΤΑΡΙΑ 2000mah,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
8466, IP PHONE WITH CAMERA,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
