batch_number,name,unit_of_measurement,description,category,usage,owner,quantity
6010, ΣΥΣΚΕΥΗ ΤΗΛΕΦΩΝΑ ΓΕΡΜΑΝΙΑΣ,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6011, ΤΗΛΕΦ ΕΕ -8 A-B.C.D,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6012, ΤΗΛΕΦΩΝΑ ΑΥΤΟΜΑΤΑ ΔΙΑΦΟΡ ΤΥΠΩΝ ΕΠΙΤΡΑΠΕΖΙΑ,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6013,ΤΗΛΕΦΩΝΑ TA -312 /PT,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6015, ΤΗΛΕΦΩΝΑ ΠΛΗΚΤΡΟΛΟΓΙΟΥ IRIS 20,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6018, ΣΥΣΤΗΜΑ ΕΠΙΣΚΕΥΗΣ ΒΛΑΒΩΝ,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6028, SERVER HP DL385P GEN8 (2XCPU AMD 32G),ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6051, ΚΑΛΩΔΙΟ CX-1302,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6068, ΚΡΥΠΤΟΦΩΝΙΚΗ ΣΥΣΚ MA-4207,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6070, ΣΥΣΚΕΥΗ ΤΗΛΕΜ PANASONIC UF 788,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6071, FAX KOIN ΧΑΡΤΗ,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
6072, ΣΥΣΚΕΥΗ ΤΗΛΕΜ PANASONIC UF-770,ΤΕΜΑΧΙΑ,,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΚΑΜΙΑ ΕΠΙΛΟΓΗ,ΔΙΔΕΣ,0
